Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		2.9431		3.8487		0.0000		0.6513		0.01633760
115		2.9478		3.9450		0.0000		0.6074		0.01625895
116		2.9477		3.8351		0.0000		0.6338		0.01618026
117		2.9743		4.3783		0.0000		0.5287		0.01610152
118		2.9803		3.4646		0.0000		0.6351		0.01602274
119		2.9414		3.7608		0.0000		0.6640		0.01594392
120		2.9295		3.6975		0.0000		0.6278		0.01586506
121		2.9677		4.0824		0.0000		0.5922		0.01578615
122		2.9355		3.6974		0.0000		0.6364		0.01570719
123		2.9222		3.7521		0.0000		0.6524		0.01562820
124		2.9282		3.5318		0.0000		0.6713		0.01554916
125		2.9183		3.8772		0.0000		0.6003		0.01547007
126		2.9141		3.8529		0.0000		0.6475		0.01539094
127		2.9856		3.6803		0.0000		0.6290		0.01531176
128		2.9539		3.5856		0.0000		0.6381		0.01523254
129		2.9148		3.6353		0.0000		0.6399		0.01515327
130		2.9122		3.7381		0.0000		0.6376		0.01507396
131		2.9115		3.5616		0.0000		0.6367		0.01499460
132		2.9061		3.7770		0.0000		0.6465		0.01491519
133		2.8992		3.6579		0.0000		0.6293		0.01483574
134		2.8931		3.9316		0.0000		0.6337		0.01475624
135		2.9160		3.7365		0.0000		0.6499		0.01467669
136		2.9056		3.6752		0.0000		0.6498		0.01459709
137		2.8996		3.7550		0.0000		0.6288		0.01451745
138		2.8949		3.6670		0.0000		0.6451		0.01443776
139		2.9043		3.5662		0.0000		0.6518		0.01435801
140		2.9031		3.7739		0.0000		0.6487		0.01427822
141		2.8940		3.6695		0.0000		0.6387		0.01419838
142		2.8974		3.6215		0.0000		0.6288		0.01411849
143		2.8895		4.4709		0.0000		0.5469		0.01403855
144		2.8904		4.0259		0.0000		0.6251		0.01395856
145		2.8911		3.8696		0.0000		0.6239		0.01387852
146		2.8790		3.3785		0.0000		0.6457		0.01379842
147		2.8877		3.8405		0.0000		0.6021		0.01371828
148		2.8924		3.7061		0.0000		0.6371		0.01363808
149		2.8749		3.6524		0.0000		0.6342		0.01355783
150		2.8731		3.8162		0.0000		0.6556		0.01347752
151		2.8767		3.5634		0.0000		0.6597		0.01339717
152		2.8571		3.9649		0.0000		0.6200		0.01331676
153		2.8582		3.7720		0.0000		0.6543		0.01323629
154		2.8587		3.8372		0.0000		0.6563		0.01315578
155		2.8587		3.8560		0.0000		0.6409		0.01307520
156		2.8511		3.7465		0.0000		0.6395		0.01299458
157		2.8472		3.8143		0.0000		0.6453		0.01291389
158		2.8504		3.8316		0.0000		0.6259		0.01283315
159		2.8539		3.7945		0.0000		0.6475		0.01275235
160		2.8537		3.8524		0.0000		0.6532		0.01267150
161		2.8472		3.8255		0.0000		0.6336		0.01259059
162		2.8542		3.4801		0.0000		0.6190		0.01250962
163		2.8442		3.5029		0.0000		0.6507		0.01242860
164		2.8385		3.9603		0.0000		0.6656		0.01234751
165		2.8501		3.6934		0.0000		0.6609		0.01226637
166		2.8403		3.8397		0.0000		0.6684		0.01218516
167		2.8421		3.9188		0.0000		0.6576		0.01210390
168		2.8353		3.9006		0.0000		0.6450		0.01202257
169		2.8526		4.0069		0.0000		0.6014		0.01194118
170		2.8905		3.6674		0.0000		0.6652		0.01185974
171		2.8360		3.8152		0.0000		0.6641		0.01177823
172		2.8269		3.6816		0.0000		0.6673		0.01169665
173		2.8296		3.7734		0.0000		0.6361		0.01161502
174		2.8254		3.7035		0.0000		0.6576		0.01153332
175		2.8217		3.8077		0.0000		0.6745		0.01145155
176		2.8201		3.9093		0.0000		0.6290		0.01136972
177		2.8190		3.9958		0.0000		0.6449		0.01128783
178		2.8208		4.0663		0.0000		0.6383		0.01120587
179		2.8495		3.7995		0.0000		0.6515		0.01112384
180		2.8188		3.7630		0.0000		0.6323		0.01104174
181		2.8252		3.8836		0.0000		0.6566		0.01095958
182		2.8139		3.9760		0.0000		0.6741		0.01087735
183		2.8126		3.7738		0.0000		0.6338		0.01079505
184		2.8186		3.8516		0.0000		0.6638		0.01071268
185		2.7976		4.1078		0.0000		0.6118		0.01063024
186		2.8043		3.9532		0.0000		0.6699		0.01054773
187		2.7948		3.9763		0.0000		0.6456		0.01046514
188		2.7948		3.9732		0.0000		0.6527		0.01038249
189		2.7851		3.9158		0.0000		0.6444		0.01029976
190		2.7956		3.8762		0.0000		0.6616		0.01021696
191		2.7925		3.8847		0.0000		0.6595		0.01013408
192		2.7947		3.9979		0.0000		0.6376		0.01005113
193		2.8087		3.8425		0.0000		0.6516		0.00996810
194		2.7986		3.7295		0.0000		0.6756		0.00988499
195		2.8141		3.7691		0.0000		0.6346		0.00980181
196		2.8009		3.8870		0.0000		0.6708		0.00971854
197		2.7956		3.9429		0.0000		0.6596		0.00963520
198		2.7969		3.8173		0.0000		0.6510		0.00955178
199		2.7739		3.9698		0.0000		0.6592		0.00946828
200		2.7816		3.9023		0.0000		0.6806		0.00938469
201		2.7737		3.8376		0.0000		0.6742		0.00930103
202		2.7715		3.8037		0.0000		0.6730		0.00921728
203		2.7732		3.9025		0.0000		0.6718		0.00913344
204		2.7736		3.9927		0.0000		0.6629		0.00904952
205		2.7674		4.0417		0.0000		0.6618		0.00896551
206		2.7674		3.9020		0.0000		0.6646		0.00888141
207		2.7664		3.9752		0.0000		0.6807		0.00879723
208		2.7648		3.9867		0.0000		0.6714		0.00871296
209		2.7624		4.1347		0.0000		0.6691		0.00862859
210		2.7453		4.0686		0.0000		0.6623		0.00854414
